25/08/08 19:36:00 14.120 -89.850   7 2.9 C  19 Km al sur de Jutiapa, Guatemala
25/08/08 20:53:54 14.100 -89.880   8 2.2 C  20 Km al sur de Jutiapa, Guatemala
25/08/08 22:52:57 13.660 -89.050   4 1.8 C   5 Km al noroeste de San Miguel Tepezontes, El Salvador
25/08/09 00:03:02 11.250 -86.060  39 2.7 C  16 Km al sur de El Gigante, Tola, Nicaragua
25/08/09 00:24:29 14.090 -89.820   5 2.4 C  19 Km al norte de Ahuachapan, El Salvador
25/08/09 00:59:43 13.250 -89.970  27 3.0 C  41 Km al sur de Acajutla, El Salvador
25/08/09 02:26:33 12.580 -90.260   9 3.0 C 121 Km al suroeste de Acajutla, El Salvador
25/08/09 04:26:32 14.140 -89.720   5 2.2 C  24 Km al noroeste de Santa Ana, El Salvador
25/08/09 05:01:52 13.410 -90.030  32 2.7 C  29 Km al suroeste de Acajutla, El Salvador
25/08/09 06:25:51 14.070 -89.810   4 2.0 C  17 Km al norte de Ahuachapan, El Salvador
25/08/09 06:27:42 14.410 -90.690   2 2.2 C  16 Km al noreste de Escuintla, Guatemala
25/08/09 07:15:50 14.680 -90.570  11 2.1 C   7 Km al noroeste de Guatemala, Guatemala
25/08/09 07:24:39 14.030 -89.770   7 1.4 C  15 Km al noreste de Ahuachapan, El Salvador
25/08/09 07:43:49 12.880 -90.360   8 3.9 C  97 Km al suroeste de Acajutla, El Salvador
25/08/09 10:20:15 14.060 -89.810   6 2.4 C  16 Km al norte de Ahuachapan, El Salvador
25/08/09 12:49:06 10.020 -83.870   5 3.0 C  19 Km al norte de Cartago, Costa Rica
25/08/09 13:04:33 12.100 -88.110  14 3.2 C 100 Km al suroeste de Mechapa, Chinandega, Nicaragua
25/08/09 14:07:46 14.120 -89.880   6 2.2 C  18 Km al sur de Jutiapa, Guatemala
25/08/09 14:13:08 13.040 -89.500  28 2.6 C  53 Km al sur de La Libertad, El Salvador
25/08/09 14:22:42 14.110 -89.880   9 2.5 C  19 Km al sur de Jutiapa, Guatemala
25/08/09 14:24:14 14.150 -89.910   4 2.4 C  15 Km al sur de Jutiapa, Guatemala
25/08/09 14:41:03 13.740 -92.270  31 5.8 C  73 Km al suroeste de Champerico, Guatemala
25/08/09 15:39:17  9.430 -83.890  37 3.1 C  20 Km al norte de Dominical, Costa Rica
25/08/09 16:28:03  8.370 -82.800  27 2.7 C   4 Km al norte de Olivo Civil, Panamá
